Year,Population,Drivers ,Vehicles,
1960 ,180,87,74,
1961 ,183,89,76,
1962 ,186,91,79,
1963 ,188,94,83,
1964 ,191,95,86,
1965 ,194,99,90,
1966 ,196,101,94,
1967 ,197,103,97,
1968 ,199,105,101,
1969 ,201,108,105,
1970 ,204,112,108,
1971 ,207,114,113,
1972 ,209,118,119,
1973 ,211,122,126,
1974 ,213,125,130,
1975 ,215,130,133,
1976 ,218,134,139,
1977 ,220,138,142,
1978 ,222,141,148,
1979 ,225,143,152,
1980 ,227,145,156,
1981 ,230,147,158,
1982 ,232,150,160,
1983 ,234,154,164,
1984 ,236,155,166,
1985 ,239,157,172,
1986 ,241,159,176,
1987 ,243,161,179,
1988 ,246,163,184,
1989 ,248,166,187,
1990 ,248,167,189,
1991 ,252,169,188,
1992 ,255,173,190,
1993 ,258,173,194,
1994 ,260,175,198,
1995 ,263,177,202,
1996 ,265,180,206,
1997 ,268,183,208,
1998 ,270,185,211,
1999 ,273,187,216,
2000 ,281,191,221,
2001 ,285,191,230,
2002 ,288,195,230,
2003 ,291,196,231,
2004 ,293,199,237,
2005 ,296,201,241,
2006 ,299,203,244,
2007 ,301,205,247,
2008 ,304,208,248,
2009 ,307,210,246,
2010 ,309,210,242,
2011 ,312,212,245,
,,,,
,,,,
